start_date,end_date,symbol
2025-01-01,2025-12-31,AVGO
2025-01-01,2025-12-31,BP
2025-01-01,2025-12-31,ETH
2025-01-01,2025-12-31,OIL
2025-01-01,2025-12-31,PLTR
2025-01-01,2025-12-31,QQQ
2025-01-01,2025-12-31,RIOT
2025-01-01,2025-12-31,SILVER
2025-01-01,2025-12-31,SOL
2025-01-01,2025-12-31,TSLA
