start_date,end_date,symbol
2025-01-01,2025-12-31,HLAL
2025-01-01,2025-12-31,MU
2025-01-01,2025-12-31,GOLD
2025-01-01,2025-12-31,ETH
2025-01-01,2025-12-31,OMER
2025-01-01,2025-12-31,QBTS
2025-01-01,2025-12-31,AMD
2025-01-01,2025-12-31,QCOM
2025-01-01,2025-12-31,COPPER
2025-01-01,2025-12-31,ALUMINIUM
