start_date,end_date,symbol
2026-01-01,2026-12-31,QQQ
2026-01-01,2026-12-31,BTC
2026-01-01,2026-12-31,JPM
2026-01-01,2026-12-31,BAC
2026-01-01,2026-12-31,BRK
2026-01-01,2026-12-31,AXP
2026-01-01,2026-12-31,V
2026-01-01,2026-12-31,MA
2026-01-01,2026-12-31,PYPL
2026-01-01,2026-12-31,MSFT
