start_date,end_date,symbol
2025-01-01,2025-12-31,BP
2025-01-01,2025-12-31,BTC
2025-01-01,2025-12-31,ETH
2025-01-01,2025-12-31,META
2025-01-01,2025-12-31,PG
2025-01-01,2025-12-31,RBLX
2025-01-01,2025-12-31,SHIB
2025-01-01,2025-12-31,SILVER
2025-01-01,2025-12-31,SILVER
2025-01-01,2025-12-31,SONY
