date,value
2026-01-02,28.1299991607666
2026-01-05,30.639999389648438
2026-01-06,31.270000457763672
2026-01-07,30.200000762939453
2026-01-08,29.280000686645508
2026-01-09,28.110000610351562
2026-01-12,28.799999237060547
2026-01-13,28.81999969482422
2026-01-14,30.149999618530273
2026-01-15,28.719999313354492
2026-01-16,28.829999923706055
2026-01-20,27.040000915527344
2026-01-21,26.040000915527344
2026-01-22,27.43000030517578
2026-01-23,25.6299991607666
2026-01-26,23.75
2026-01-27,24.690000534057617
2026-01-28,24.969999313354492
2026-01-29,23.219999313354492
2026-01-30,21.219999313354492
