date,value
2026-01-05,105.29608917236328
2026-01-06,108.2269058227539
2026-01-07,110.2454833984375
2026-01-08,110.40076446533203
2026-01-09,110.67249298095703
2026-01-12,110.47840118408203
2026-01-13,110.28430938720703
2026-01-14,112.63284301757812
2026-01-15,111.09950256347656
2026-01-16,112.18643188476562
2026-01-19,112.1476058959961
2026-01-20,110.88600158691406
2026-01-21,110.96363067626953
2026-01-22,111.7011947631836
2026-01-23,112.22525024414062
2026-01-26,112.45816040039062
2026-01-27,113.07926177978516
2026-01-28,110.82776641845703
2026-01-29,110.90541076660156
2026-01-30,111.2353744506836
2026-02-02,113.77799987792969
2026-02-03,113.42862701416016
2026-02-04,115.19488525390625
2026-02-05,115.75775909423828
2026-02-06,116.41767883300781
2026-02-09,116.65058898925781
2026-02-10,117.42697143554688
2026-02-11,119.46495819091797
2026-02-12,120.14429473876953
2026-02-13,121.44471740722656
2026-02-16,122.72573852539062
2026-02-17,124.58905029296875
2026-02-18,123.61857604980469
2026-02-19,122.74515533447266
2026-02-20,122.72573852539062
2026-02-23,124.20085906982422
2026-02-24,125.77302551269531
2026-02-25,125.96711730957031
2026-02-26,124.31732177734375
2026-02-27,126.64644622802734
2026-03-02,126.12239837646484
2026-03-03,122.66751861572266
2026-03-04,123.90972137451172
2026-03-05,121.13417053222656
2026-03-06,119.6202392578125
2026-03-09,121.5999984741211
2026-03-10,122.0
2026-03-11,121.23999786376953
2026-03-12,120.83999633789062
2026-03-13,121.36000061035156
2026-03-16,121.44000244140625
2026-03-17,121.77999877929688
2026-03-18,119.5
2026-03-19,116.87999725341797
2026-03-20,115.5999984741211
2026-03-23,116.12000274658203
2026-03-24,117.4800033569336
2026-03-25,119.62000274658203
2026-03-26,119.5199966430664
2026-03-27,119.13999938964844
2026-03-30,119.81999969482422
2026-03-31,120.86000061035156
2026-04-01,122.9000015258789
2026-04-02,123.19999694824219
2026-04-07,119.80000305175781
2026-04-08,121.18000030517578
2026-04-09,122.18000030517578
2026-04-10,121.76000213623047
2026-04-13,120.62000274658203
2026-04-14,120.27999877929688
2026-04-15,118.33999633789062
2026-04-16,117.41999816894531
2026-04-17,118.81999969482422
2026-04-20,118.22000122070312
2026-04-21,116.0999984741211
2026-04-22,115.58000183105469
2026-04-23,116.27999877929688
2026-04-24,113.69999694824219
2026-04-27,114.08000183105469
2026-04-28,114.72000122070312
2026-04-29,113.33999633789062
2026-04-30,115.9000015258789
