date,value
2025-12-01,62.113563537597656
2025-12-02,62.353271484375
2025-12-03,62.54303741455078
2025-12-04,62.5230598449707
2025-12-05,62.74279022216797
2025-12-08,62.34328079223633
2025-12-09,62.32230758666992
2025-12-10,62.72081756591797
2025-12-11,62.63292694091797
2025-12-12,62.14352798461914
2025-12-15,62.03366470336914
2025-12-16,61.93378448486328
2025-12-17,61.204681396484375
2025-12-18,61.813934326171875
2025-12-19,62.213443756103516
2025-12-22,62.473121643066406
2025-12-23,62.573001861572266
2025-12-24,62.779998779296875
