date,value
2025-12-01,205.33999633789062
2025-12-02,205.4199981689453
2025-12-03,205.3300018310547
2025-12-04,202.47999572753906
2025-12-05,201.92999267578125
2025-12-08,201.6199951171875
2025-12-09,199.9600067138672
2025-12-10,206.5399932861328
2025-12-11,210.00999450683594
2025-12-12,211.5800018310547
2025-12-15,214.1699981689453
2025-12-16,209.3000030517578
2025-12-17,210.3300018310547
2025-12-18,208.30999755859375
2025-12-19,206.3699951171875
2025-12-22,207.32000732421875
2025-12-23,205.77999877929688
2025-12-24,207.77999877929688
