date,value
2025-12-01,330.3900146484375
2025-12-02,329.6199951171875
2025-12-03,329.6099853515625
2025-12-04,327.1000061035156
2025-12-05,331.239990234375
2025-12-08,326.8399963378906
2025-12-09,326.5
2025-12-10,325.7300109863281
2025-12-11,345.6300048828125
2025-12-12,347.8299865722656
2025-12-15,346.8900146484375
2025-12-16,345.1099853515625
2025-12-17,344.4100036621094
2025-12-18,346.010009765625
2025-12-19,349.25
2025-12-22,352.0899963378906
2025-12-23,353.3800048828125
2025-12-24,355.1400146484375
