date,value
2025-12-01,1087.989990234375
2025-12-02,1108.780029296875
2025-12-03,1140.9200439453125
2025-12-04,1110.0799560546875
2025-12-05,1099.469970703125
2025-12-08,1119.68994140625
2025-12-09,1111.43994140625
2025-12-10,1119.3199462890625
2025-12-11,1122.8399658203125
2025-12-12,1080.8499755859375
2025-12-15,1087.8199462890625
2025-12-16,1076.050048828125
2025-12-17,1015.4299926757812
2025-12-18,1036.31005859375
2025-12-19,1056.02001953125
2025-12-22,1056.97998046875
2025-12-23,1061.8399658203125
2025-12-24,1065.52001953125
