date,value
2025-12-01,263.5400085449219
2025-12-02,262.55999755859375
2025-12-03,256.05999755859375
2025-12-04,257.2799987792969
2025-12-05,257.6099853515625
2025-12-08,255.8800048828125
2025-12-09,253.4199981689453
2025-12-10,262.2300109863281
2025-12-11,272.8299865722656
2025-12-12,254.8000030517578
2025-12-15,255.88999938964844
2025-12-16,258.510009765625
2025-12-17,254.02999877929688
2025-12-18,261.7900085449219
2025-12-19,266.9800109863281
2025-12-22,284.5899963378906
2025-12-23,269.3900146484375
2025-12-24,272.2099914550781
