date,value
2026-01-01,2226.8115234375
2026-01-02,2320.058837890625
2026-01-03,2321.1689453125
2026-01-04,2337.2099609375
2026-01-05,2383.939208984375
2026-01-06,2441.50537109375
2026-01-07,2353.044189453125
2026-01-08,2310.51123046875
2026-01-09,2299.752685546875
2026-01-10,2299.094482421875
2026-01-11,2328.600341796875
2026-01-12,2296.385498046875
2026-01-13,2474.416259765625
2026-01-14,2496.057861328125
2026-01-15,2478.879638671875
2026-01-16,2462.62158203125
2026-01-17,2473.17626953125
2026-01-18,2448.252197265625
2026-01-19,2374.6826171875
2026-01-20,2184.134765625
2026-01-21,2220.052978515625
2026-01-22,2184.985107421875
2026-01-23,2164.193603515625
2026-01-24,2161.04052734375
2026-01-25,2060.7138671875
2026-01-26,2139.98046875
2026-01-27,2185.949951171875
2026-01-28,2174.4658203125
2026-01-29,2040.905029296875
2026-01-30,1973.6905517578125
2026-01-31,1785.7825927734375
2026-02-01,1658.2838134765625
2026-02-02,1714.58740234375
2026-02-03,1626.2939453125
2026-02-04,1570.8070068359375
2026-02-05,1347.283935546875
2026-02-06,1515.970458984375
2026-02-07,1535.4185791015625
2026-02-08,1534.733154296875
2026-02-09,1537.3988037109375
2026-02-10,1481.438720703125
2026-02-11,1424.5208740234375
2026-02-12,1429.6365966796875
2026-02-13,1500.6424560546875
2026-02-14,1528.1002197265625
2026-02-15,1440.5982666015625
2026-02-16,1440.4029541015625
