date,value
2026-01-02,324.0184326171875
2026-01-05,332.5400085449219
2026-01-06,334.6099853515625
2026-01-07,326.989990234375
2026-01-08,329.7900085449219
2026-01-09,329.19000244140625
2026-01-12,324.489990234375
2026-01-13,310.8999938964844
2026-01-14,307.8699951171875
2026-01-15,309.260009765625
2026-01-16,312.4700012207031
2026-01-20,302.739990234375
2026-01-21,302.0400085449219
2026-01-22,303.6300048828125
2026-01-23,297.7200012207031
2026-01-26,301.0400085449219
2026-01-27,300.30999755859375
2026-01-28,300.7699890136719
2026-01-29,306.4200134277344
2026-01-30,305.8900146484375
2026-02-02,308.1400146484375
2026-02-03,314.8500061035156
2026-02-04,317.2699890136719
2026-02-05,310.1600036621094
2026-02-06,322.3999938964844
2026-02-09,322.1000061035156
2026-02-10,318.2799987792969
2026-02-11,310.82000732421875
2026-02-12,302.6400146484375
2026-02-13,302.54998779296875
2026-02-17,307.1300048828125
2026-02-18,308.7799987792969
2026-02-19,308.04998779296875
2026-02-20,310.7900085449219
