date,value
2026-01-02,223.47000122070312
2026-01-05,221.0800018310547
2026-01-06,214.35000610351562
2026-01-07,210.02000427246094
2026-01-08,204.67999267578125
2026-01-09,203.1699981689453
2026-01-12,207.69000244140625
2026-01-13,220.97000122070312
2026-01-14,223.60000610351562
2026-01-15,227.9199981689453
2026-01-16,231.8300018310547
2026-01-20,231.9199981689453
2026-01-21,249.8000030517578
2026-01-22,253.72999572753906
2026-01-23,259.67999267578125
2026-01-26,251.30999755859375
2026-01-27,252.02999877929688
2026-01-28,252.74000549316406
2026-01-29,252.17999267578125
2026-01-30,236.72999572753906
