date,value
2026-01-02,1080.3599853515625
2026-01-05,1041.510009765625
2026-01-06,1064.0400390625
2026-01-07,1108.0899658203125
2026-01-08,1085.18994140625
2026-01-09,1063.56005859375
2026-01-12,1081.0
2026-01-13,1077.18994140625
2026-01-14,1073.2900390625
2026-01-15,1032.969970703125
2026-01-16,1038.4000244140625
2026-01-20,1041.2900390625
2026-01-21,1078.52001953125
2026-01-22,1087.3800048828125
2026-01-23,1064.2900390625
2026-01-26,1062.75
2026-01-27,1039.510009765625
2026-01-28,1023.7999877929688
2026-01-29,1024.1400146484375
2026-01-30,1037.1500244140625
