date,value
2025-01-02,161.70765686035156
2025-01-03,160.87954711914062
2025-01-06,156.4661407470703
2025-01-07,157.14813232421875
2025-01-08,157.92755126953125
2025-01-10,154.47865295410156
2025-01-13,154.75144958496094
2025-01-14,155.62828063964844
2025-01-15,155.54058837890625
2025-01-16,156.3687286376953
2025-01-17,156.9824981689453
2025-01-21,157.55731201171875
2025-01-22,160.4995880126953
2025-01-23,161.87327575683594
2025-01-24,160.87054443359375
2025-01-27,166.3008575439453
2025-01-28,162.89956665039062
2025-01-29,162.9387664794922
2025-01-30,164.09539794921875
2025-01-31,162.70352172851562
2025-02-03,165.4186553955078
2025-02-04,164.8011474609375
2025-02-05,165.66371154785156
2025-02-06,165.5363006591797
2025-02-07,164.64430236816406
2025-02-10,164.21302795410156
2025-02-11,166.0753936767578
2025-02-12,166.22242736816406
2025-02-13,167.63392639160156
2025-02-14,159.66488647460938
2025-02-18,162.1545867919922
2025-02-19,163.19361877441406
2025-02-20,163.8993682861328
2025-02-21,166.85955810546875
2025-02-24,167.16342163085938
2025-02-25,169.2316436767578
2025-02-26,167.9083709716797
2025-02-27,168.5651092529297
2025-02-28,170.39810180664062
2025-03-03,172.1134490966797
2025-03-04,169.7511444091797
2025-03-05,171.15283203125
2025-03-06,171.2018585205078
2025-03-07,172.46630859375
2025-03-10,172.77017211914062
2025-03-11,169.6923370361328
2025-03-12,165.03639221191406
2025-03-13,165.2520294189453
2025-03-14,164.64430236816406
2025-03-17,166.39886474609375
2025-03-18,164.38946533203125
2025-03-19,165.23245239257812
2025-03-20,164.23263549804688
2025-03-21,163.38966369628906
2025-03-24,162.3702392578125
2025-03-25,159.6256866455078
2025-03-26,163.28182983398438
2025-03-27,165.3696746826172
2025-03-28,164.703125
2025-03-31,167.04579162597656
2025-04-01,167.1830291748047
2025-04-02,166.14401245117188
2025-04-03,168.97679138183594
2025-04-04,160.5078582763672
2025-04-07,157.0575408935547
2025-04-08,155.2539825439453
2025-04-09,159.10618591308594
2025-04-10,160.32162475585938
2025-04-11,163.6053009033203
2025-04-14,165.78135681152344
2025-04-15,165.13441467285156
2025-04-16,163.09559631347656
2025-04-17,167.25164794921875
2025-04-21,163.48098754882812
2025-04-22,165.5818328857422
2025-04-23,163.46124267578125
2025-04-24,157.34613037109375
2025-04-25,158.81573486328125
2025-04-28,159.63438415527344
2025-04-29,160.03875732421875
2025-04-30,160.3445281982422
2025-05-01,157.7899627685547
2025-05-02,158.32257080078125
2025-05-05,156.65573120117188
2025-05-06,157.06996154785156
2025-05-07,157.10940551757812
2025-05-08,156.47817993164062
2025-05-09,155.50173950195312
2025-05-12,158.69737243652344
2025-05-13,156.5570831298828
2025-05-14,155.8568115234375
2025-05-15,160.18670654296875
2025-05-16,161.04478454589844
2025-05-19,162.514404296875
2025-05-20,163.3724822998047
2025-05-21,163.1653594970703
2025-05-22,162.77084350585938
2025-05-23,163.5894775390625
2025-05-27,165.46347045898438
2025-05-28,165.06895446777344
2025-05-29,166.25250244140625
2025-05-30,167.56431579589844
2025-06-02,165.48318481445312
2025-06-03,164.56593322753906
2025-06-04,163.67823791503906
2025-06-05,160.57138061523438
2025-06-06,161.77467346191406
2025-06-09,160.33465576171875
2025-06-10,160.61082458496094
2025-06-11,159.8908233642578
2025-06-12,160.9461669921875
2025-06-13,158.08587646484375
2025-06-16,158.6776580810547
2025-06-17,156.3499755859375
2025-06-18,155.8568115234375
2025-06-20,156.9022979736328
2025-06-23,158.82559204101562
2025-06-24,158.16476440429688
2025-06-25,156.79380798339844
2025-06-26,156.45846557617188
2025-06-27,157.67161560058594
2025-06-30,157.13902282714844
2025-07-01,159.01300048828125
2025-07-02,158.99327087402344
2025-07-03,158.62832641601562
2025-07-07,158.3028564453125
2025-07-08,155.72857666015625
2025-07-09,155.36366271972656
2025-07-10,156.32037353515625
2025-07-11,154.90008544921875
2025-07-14,151.65512084960938
2025-07-15,150.58990478515625
2025-07-16,151.6255340576172
2025-07-17,153.48963928222656
2025-07-18,154.02293395996094
2025-07-21,153.9534149169922
2025-07-22,157.2205810546875
2025-07-23,157.18084716796875
2025-07-24,157.70716857910156
2025-07-25,157.20071411132812
2025-07-28,156.0189666748047
2025-07-29,155.52244567871094
2025-07-30,151.81834411621094
2025-07-31,149.42507934570312
2025-08-01,149.60382080078125
2025-08-04,149.7130584716797
2025-08-05,149.4647979736328
2025-08-06,151.79849243164062
2025-08-07,152.4241180419922
2025-08-08,152.4439697265625
2025-08-11,153.9037628173828
2025-08-12,154.01300048828125
2025-08-13,154.33078002929688
2025-08-14,152.67237854003906
2025-08-15,153.28807067871094
2025-08-18,154.6386260986328
2025-08-19,157.3000030517578
2025-08-20,158.4022979736328
2025-08-21,157.62771606445312
2025-08-22,157.56813049316406
2025-08-25,155.0656280517578
2025-08-26,154.8868865966797
2025-08-27,155.87002563476562
2025-08-28,154.56910705566406
2025-08-29,155.94944763183594
2025-09-02,156.8928680419922
2025-09-03,157.0716094970703
2025-09-04,158.08453369140625
2025-09-05,158.9087677001953
2025-09-08,157.90577697753906
2025-09-09,158.3526611328125
2025-09-10,156.25730895996094
2025-09-11,157.52842712402344
2025-09-12,156.80348205566406
2025-09-15,155.7409210205078
2025-09-16,156.95245361328125
2025-09-17,159.21661376953125
2025-09-18,156.22752380371094
2025-09-19,154.95639038085938
2025-09-22,152.0070343017578
2025-09-23,151.44097900390625
2025-09-24,151.36154174804688
2025-09-25,151.09341430664062
2025-09-26,151.44097900390625
2025-09-29,152.46383666992188
2025-09-30,152.58299255371094
