date,value
2025-01-02,230.3424072265625
2025-01-03,230.90838623046875
2025-01-06,234.74114990234375
2025-01-07,227.02598571777344
2025-01-08,227.69125366210938
2025-01-10,222.7265625
2025-01-13,223.6996307373047
2025-01-14,223.11380004882812
2025-01-15,226.39051818847656
2025-01-16,227.79055786132812
2025-01-17,235.7638702392578
2025-01-21,238.61361694335938
2025-01-22,239.20936584472656
2025-01-23,238.5838165283203
2025-01-24,242.97262573242188
2025-01-27,200.70314025878906
2025-01-28,205.89620971679688
2025-01-29,204.89334106445312
2025-01-30,214.1376190185547
2025-01-31,219.70802307128906
2025-02-03,216.1929931640625
2025-02-04,220.8598175048828
2025-02-05,230.36227416992188
2025-02-06,229.72679138183594
2025-02-07,223.28260803222656
2025-02-10,233.3808135986328
2025-02-11,233.3808135986328
2025-02-12,234.68157958984375
2025-02-13,234.1354522705078
2025-02-14,231.39492797851562
2025-02-18,226.916748046875
2025-02-19,227.1153564453125
2025-02-20,225.139404296875
2025-02-21,217.11643981933594
2025-02-24,206.46217346191406
2025-02-25,201.1102294921875
2025-02-26,211.43682861328125
2025-02-27,196.40370178222656
2025-02-28,198.02218627929688
2025-03-03,186.04733276367188
2025-03-04,186.1565399169922
2025-03-05,190.22760009765625
2025-03-06,178.1832275390625
2025-03-07,193.583740234375
2025-03-10,183.14793395996094
2025-03-11,188.74810791015625
2025-03-12,192.85890197753906
2025-03-13,190.0091552734375
2025-03-14,194.15963745117188
2025-03-17,193.1269989013672
2025-03-18,187.338134765625
2025-03-19,194.18943786621094
2025-03-20,189.76744079589844
2025-03-21,190.88290405273438
2025-03-24,190.47454833984375
2025-03-25,187.49668884277344
2025-03-26,178.5431365966797
2025-03-27,171.2926483154297
2025-03-28,168.4342803955078
2025-03-31,166.75112915039062
2025-04-01,167.8367156982422
2025-04-02,171.39224243164062
2025-04-03,153.3855438232422
2025-04-04,145.69683837890625
2025-04-07,153.5150146484375
2025-04-08,155.39735412597656
2025-04-09,184.3992919921875
2025-04-10,171.60140991210938
2025-04-11,181.2023162841797
2025-04-14,177.63682556152344
2025-04-15,178.22442626953125
2025-04-16,173.9020233154297
2025-04-17,170.2967071533203
2025-04-21,165.53610229492188
2025-04-22,168.89242553710938
2025-04-23,176.1927032470703
2025-04-24,187.38711547851562
2025-04-25,191.53025817871094
2025-04-28,191.6896209716797
2025-04-29,190.39488220214844
2025-04-30,191.6896209716797
2025-05-01,196.5299072265625
2025-05-02,202.8143310546875
2025-05-05,199.90615844726562
2025-05-06,199.27871704101562
2025-05-07,203.97958374023438
2025-05-08,206.92758178710938
2025-05-09,207.3558349609375
2025-05-12,220.6815948486328
2025-05-13,231.47763061523438
2025-05-14,231.17884826660156
2025-05-15,231.69674682617188
2025-05-16,227.68307495117188
2025-05-19,229.6949005126953
2025-05-20,230.74063110351562
2025-05-21,228.7985382080078
2025-05-22,229.59530639648438
2025-05-23,227.79263305664062
2025-05-27,234.6945343017578
2025-05-28,238.45919799804688
2025-05-29,240.98890686035156
2025-05-30,241.08851623535156
2025-06-02,247.70159912109375
2025-06-03,255.80859375
2025-06-04,260.02142333984375
2025-06-05,258.8760986328125
2025-06-06,245.92880249023438
2025-06-09,243.28955078125
2025-06-10,243.6381378173828
2025-06-11,251.8845672607422
2025-06-12,255.03175354003906
2025-06-13,247.69161987304688
2025-06-16,251.07785034179688
2025-06-17,248.35890197753906
2025-06-18,250.24122619628906
2025-06-20,249.5624237060547
2025-06-23,253.33595275878906
2025-06-24,263.31884765625
2025-06-25,264.19732666015625
2025-06-26,269.7079162597656
2025-06-27,268.8893127441406
2025-06-30,275.17852783203125
2025-07-01,264.28717041015625
2025-07-02,269.4383544921875
2025-07-03,274.7093200683594
2025-07-07,273.7110290527344
2025-07-08,271.3350830078125
2025-07-09,277.4246826171875
2025-07-10,274.928955078125
2025-07-11,273.91070556640625
2025-07-14,275.12860107421875
2025-07-15,280.45947265625
2025-07-16,280.3296813964844
2025-07-17,285.9600524902344
2025-07-18,282.8553771972656
2025-07-21,287.717041015625
2025-07-22,278.1134948730469
2025-07-23,283.20477294921875
2025-07-24,288.2161865234375
2025-07-25,289.68365478515625
2025-07-28,293.7966003417969
2025-07-29,296.91131591796875
2025-07-30,302.1023864746094
2025-07-31,293.1976623535156
2025-08-01,288.1463317871094
2025-08-04,297.2107849121094
2025-08-05,292.428955078125
2025-08-06,301.1540222167969
2025-08-07,303.2404479980469
2025-08-08,304.4483642578125
2025-08-11,303.38018798828125
2025-08-12,312.294921875
2025-08-13,308.5613098144531
2025-08-14,310.69769287109375
2025-08-15,305.8160400390625
2025-08-18,305.2370300292969
2025-08-19,294.40557861328125
2025-08-20,290.6719970703125
2025-08-21,289.10467529296875
2025-08-22,293.49713134765625
2025-08-25,293.72674560546875
2025-08-26,297.5002746582031
2025-08-27,299.7364501953125
2025-08-28,308.1220703125
2025-08-29,296.88134765625
2025-09-02,297.7298889160156
2025-09-03,301.872802734375
2025-09-04,305.5764465332031
2025-09-05,334.31719970703125
2025-09-08,345.05877685546875
2025-09-09,336.09417724609375
2025-09-10,368.9378967285156
2025-09-11,359.014892578125
2025-09-12,359.25445556640625
2025-09-15,363.4672546386719
2025-09-16,359.3842468261719
2025-09-17,345.5779113769531
2025-09-18,344.7593078613281
2025-09-19,344.3500061035156
2025-09-22,338.7900085449219
2025-09-23,338.94000244140625
2025-09-24,339.30999755859375
2025-09-25,336.1000061035156
2025-09-26,334.5299987792969
2025-09-29,327.8999938964844
2025-09-30,329.9100036621094
2025-10-01,333.3900146484375
